name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
The White Room - Coffee & Kitchen,No,Yes,4.0/5,1701,"080 40222999
+91 7406195000",Church Street,Cafe,"Mushroom Quiche, Chicken Quiche, Coffee, Chocolate Milkshake, Caramel Frappe, Espresso, Tea","Cafe, Continental, American, Desserts","1,000",Cafes,Brigade Road
Matteo Coffea,No,No,4.3/5,2635,080 43336000,Church Street,Cafe,"Coffee, Pasta, Donut, Salads, Choco Brownie Shake, Tiramisu Cheesecake, Sandwiches",Cafe,600,Cafes,Brigade Road
Glen's Bakehouse,Yes,No,4.4/5,1084,"080 41124894
080 41126825",Lavelle Road,"Bakery, Cafe","Pizza, Coffee, Pasta, Tiramisu, Cheesecake, Hot Chocolate, Pie","Bakery, Cafe, Italian, Desserts",600,Cafes,Brigade Road
Cafe Mozaic - Taj MG Road Bengaluru,No,Yes,4.1/5,563,"080 66604266
080 66604444",MG Road,"Casual Dining, Cafe","Paneer Lababdar, Sandwiches, Oysters, Paratha, Coffee, Jeera Rice, Biryani","North Indian, Italian, South Indian, Continental, Cafe, Salad","2,500",Cafes,Brigade Road
Smally's Resto Cafe,Yes,No,4.3/5,3547,"+91 9986658881
+91 9986658882",Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650,Cafes,Brigade Road
Bengaluru Baking Company - JW Marriott Bengaluru,No,No,4.3/5,521,"+91 9900244769
080 67188511",Lavelle Road,"Bakery, Cafe","Coffee, Fruit Tart, Croissants, Eclair, Sandwich, Nachos, Tiramisu","Salad, Bakery, Cafe, Sandwich, Italian, Burger","1,400",Cafes,Brigade Road
Cafe Kaara,No,No,4.2/5,160,080 25586860,Ulsoor,Cafe,"Coffee, Cappuccino, Sandwich, Tiramisu, Hot Chocolate, Fries, Pesto Pasta","Cafe, Salad, Desserts, Pizza",750,Cafes,Brigade Road
Japan Travel Cafe Azuki,No,No,4.3/5,67,080 41214342,Residency Road,Cafe,"Miso Soup, Tempura","Cafe, Japanese",400,Cafes,Brigade Road
Little Green Cafe,No,No,4.3/5,786,"080 48544183
+91 9686366570",Church Street,"Cafe, Casual Dining","Spaghetti, Mezze Platter, Bombay Sandwich, Tomato Ragout, Mushroom Sandwich, Thai Green Curry, Tea","Cafe, Healthy Food, Salad, Continental, Beverages, Italian, Sandwich",900,Cafes,Brigade Road
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Mor'ish,Yes,No,4.1/5,114,"080 43021963
+91 7021430262",Richmond Road,Cafe,"Coffee, Pizza, Pasta, Burgers, Eggs Benedict, Brownie Fudge, Salad","BBQ, Continental, Burger, Wraps, Pizza, Cafe",700,Cafes,Brigade Road
Skoolroom,Yes,No,4.3/5,566,+91 9743538476,Ulsoor,Cafe,"Chocolate Overload, Burgers, Pasta, Peri Peri Chicken Pizza, Peri Peri Chicken Burger, Momos, Freak Shake","Cafe, Continental, Italian, Burger, Beverages",700,Cafes,Brigade Road
Lakeview Milkbar,No,No,4.0/5,1443,080 25582161,MG Road,"Dessert Parlor, Cafe","Butterscotch Ice Cream, Sandwiches, Milk Shake, Brownie, Hot Chocolate Fudge, Vanilla Ice Cream, Burgers","Desserts, Cafe, Fast Food",500,Cafes,Brigade Road
Wolf'ish,Yes,No,4.1/5,460,"+91 9113097489
+91 8041219222",Church Street,Cafe,"Burgers, Fries, Mojito, Bbq Chicken Pizza, Pasta, Potato Wedges, Peri Peri Chicken","Cafe, American, Italian, Pizza, Burger",700,Cafes,Brigade Road
Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,Yes,No,3.9/5,461,"+91 9945022177
+91 9845013055",Ulsoor,"Cafe, Casual Dining","Chocolate Shake, Wine, Burgers, Sangria, Paratha, Pasta, Fish","Cafe, American, Continental, Steak",800,Cafes,Brigade Road
Peppa Zzing,Yes,No,4.3/5,1133,+91 9740758557,Infantry Road,Cafe,"Burgers, Pasta, Cheesy Fries, Beef Burger, Ice Tea, Steak Burger, Lamb","Cafe, Fast Food, Burger",800,Cafes,Brigade Road
The Courtyard,No,Yes,3.9/5,296,+91 7338677996,Shanti Nagar,Cafe,"Hot Chocolate, Sandwiches, Garden Pizza, Pasta, Cappuccino, Garlic Bread, Sunday Morning Breakfast","Cafe, Italian",750,Cafes,Brigade Road
Cafe Imroze,Yes,No,3.6/5,95,"080 41550366
+91 9886435454",Infantry Road,"Cafe, Casual Dining","Pasta, Burgers, Fries, Bbq Chicken Pizza, Peri Peri Chicken Pizza, Bbq Burger, Nachos","Cafe, Burger, Italian, Fast Food",650,Cafes,Brigade Road
KAARA BY THE LAKE,No,No,4.0/5,47,+91 8025565676,Ulsoor,Cafe,"Coffee, Pizza, Pasta, Key Lime Pie","Cafe, Italian, Coffee",750,Cafes,Brigade Road
Happy Belly Bakes,Yes,No,4.2/5,115,080 48654072,MG Road,"Cafe, Bakery","Hot Chocolate, Waffles, Brownie, Chicken Pizza, Tea, Chocolate Cupcake, Pasta","Cafe, Bakery",500,Cafes,Brigade Road
Cafe Cassia& Deli,No,No,4.2/5,115,080 41154102,Ulsoor,"Casual Dining, Cafe","Coffee, Pasta, Tea","Lebanese, Mediterranean, Cafe","1,000",Cafes,Brigade Road
The Blackboard Bakery,No,Yes,3.7/5,91,+91 9986706451,Lavelle Road,"Cafe, Bakery","Pancakes, Sandwich, Salad, Coffee, Burgers","Cafe, Bakery, Continental","1,000",Cafes,Brigade Road
WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.0/5,85,+91 9740780105,Residency Road,"Dessert Parlor, Quick Bites","Waffles, Pie, Corn Dog","Cafe, Fast Food, Desserts, Beverages",400,Cafes,Brigade Road
Fresh Pressery Cafe,No,No,4.1/5,104,+91 8041474546,Lavelle Road,"Cafe, Quick Bites","Salads, Sandwiches, Arugula Salad, Pasta, Avocado Sandwich, Protein Smoothie, Spaghetti","Cafe, Italian, Healthy Food","1,200",Cafes,Brigade Road
Tata Cha,Yes,No,3.9/5,66,18001208242,Church Street,"Beverage Shop, Cafe","Chai, Ginger Tea, Poha, Coffee, Bun Maskas","Cafe, Tea, North Indian",500,Cafes,Brigade Road
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.2/5,382,080 49653126,Ulsoor,Cafe,"Wedges, Maggi, Burgers, Waffles, Margherita Pizza, Aam Panna, Tea","Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",500,Cafes,Brigade Road
Driven Cafe,Yes,No,3.4/5,122,"+91 9513344707
+91 9160018419",Residency Road,Cafe,"Coffee, Fries, Cappuccino, Margherita Pizza","Cafe, Beverages, Fast Food",600,Cafes,Brigade Road
Soul Cafe,No,Yes,3.9/5,315,"080 41512932
+91 9916128463",MG Road,Cafe,"Mocktails, Peri Peri Chicken, Coffee Hazelnut, Oreo Shake, Nachos, White Sauce Pasta, Ice Tea","Cafe, Continental, Italian",800,Cafes,Brigade Road
Cafe @ Elanza,No,No,3.7/5,145,"+91 8861300580
080 22233666",Richmond Road,"Casual Dining, Cafe","Breakfast Buffet, Omelette, Lunch Buffet, Pasta","Chinese, North Indian, Cafe","1,000",Cafes,Brigade Road
Cafe Aladdin,No,No,3.9/5,74,"080 73499027
+91 9986099836",St. Marks Road,Cafe,Friendly Staff,"Cafe, Chinese",500,Cafes,Brigade Road
Cafe Cerrise,No,No,3.8 /5,99,"080 39236388
080 41641430",Ulsoor,Cafe,"Bannoffee Pie, Pasta, Sandwiches, Salsa, Sandwich, Salads, Pita Bread","Cafe, Continental, Salad",600,Cafes,Brigade Road
The Coffee Bean & Tea Leaf,Yes,No,3.8/5,260,+91 8022086888,MG Road,Cafe,"Coffee, Sandwiches, Blueberry Muffin, Pancakes, Espresso, Cappuccino, Cheesecake",Cafe,700,Cafes,Brigade Road
Berrylicious Cafe,Yes,No,4.1/5,124,080 49652468,MG Road,"Casual Dining, Cafe","Waffles, Sandwiches, Nachos, Burgers, Chicken Keema Pizza, Penne Pasta, Smoothie Bowl","Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",900,Cafes,Brigade Road
Hammered,Yes,Yes,4.7/5,4639,"+91 8041217527
+91 7618729481",Cunningham Road,"Pub, Cafe","Crispy Corn, Sangria, Chicken Satay, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails","North Indian, Thai, Japanese, Continental, Cafe","1,300",Cafes,Brigade Road
Dolci Desserts,Yes,No,4.3/5,652,080 40977132,Cunningham Road,"Cafe, Dessert Parlor","Cappuccino, Eclair, Pizza, Coffee, Blueberry Cheesecake, Oreo Cheesecake, Tiramisu","Cafe, Desserts",750,Cafes,Brigade Road
Infinitea Tea Room & Tea Store,Yes,Yes,4.3/5,858,"080 41148428
080 41148810",Cunningham Road,"Casual Dining, Cafe","Tea, Momos, Tiramisu, Sandwiches, Pesto Pasta, Sandwich, Chips","Continental, Cafe, Desserts, Salad, Momos","1,000",Cafes,Brigade Road
Mudpipe Cafe,Yes,No,4.2/5,739,+91 9886140111,Cunningham Road,Cafe,"Sandwiches, Lemonade, Nachos, Mozzarella Sticks, Fries, Pasta, Pizza","Cafe, Continental, Italian, Burger",750,Cafes,Brigade Road
eat.fit,Yes,Yes,4.1/5,94,080 49652510,Church Street,Quick Bites,Biryani,"Healthy Food, North Indian, Biryani",300,Delivery,Brigade Road
Kerala Pavilion,Yes,No,3.9/5,302,"080 25356829
+91 8147812267",Domlur,Quick Bites,"Fish Curry, Roast Chicken, Kerala Parotta, Appam, Mutton Pepper Fry, Sea Food, Ghee Rice","Kerala, South Indian, Seafood, Biryani",300,Delivery,Brigade Road
Donne Biriyani House,Yes,No,4.0/5,473,+91 9739406501,Indiranagar,Quick Bites,"Pepper Chicken, Chicken Biryani, Mutton Biryani",Biryani,300,Delivery,Brigade Road
Leon Grill,Yes,No,4.3/5,284,+91 8022232900,St. Marks Road,Quick Bites,"Burgers, Fries, Peri Peri Chicken, Nachos, Wings, Rolls, Tandoori Burger","Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",500,Delivery,Brigade Road
FreshMenu,Yes,No,3.8/5,377,+91 9019245000,Richmond Road,Delivery,"Salads, Burgers, Salad, Potato Wedges, Pizza, Noodles, Fish","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Brigade Road
Sri Ganesh Juice Junction,Yes,No,4.1/5,210,+91 9591274301,Koramangala 8th Block,Beverage Shop,"Sandwiches, Sandwich, Omelette, Cheese Maggi","Beverages, Juices, Fast Food",150,Delivery,Brigade Road
Burger King,Yes,No,4.0/5,1393,080 33558000,Indiranagar,Quick Bites,"Burgers, Tandoori Grill Burger, Mango Shake, Cheesy Fries, Whopper Burger, Chicken Keema Burger, Chicken Crisp Burger","Burger, Fast Food, Beverages",600,Delivery,Brigade Road
Shanmukha,Yes,No,3.9/5,142,080 49653049,Old Airport Road,Casual Dining,"Fish, Chicken Curry, Paneer Biryani, Baby Corn Masala","Biryani, Andhra, North Indian, Chinese",800,Delivery,Brigade Road
Dunkin' Donuts,Yes,No,4.1/5,1079,080 40944712,Brigade Road,"Quick Bites, Dessert Parlor","Burgers, Coffee, Chocolate Donut, Bagel, Chocolate Drink, Dunkaccinos, Hot Chocolate","Burger, Desserts, Fast Food",550,Delivery,Brigade Road
Khan Saheb Grills and Rolls,Yes,No,4.0/5,1072,+91 8880121121,Indiranagar,Quick Bites,"Rolls, Beda Roti, Veggie Roll, Chicken Seekh Roll, Chicken Kalimirch, Kathi Roll, Mutton Kebab Roll","Fast Food, Rolls",350,Delivery,Brigade Road
Pathaan Sir,Yes,No,3.8/5,88,+91 9739956197,Frazer Town,Quick Bites,"Rolls, Fries, Egg Roll","Fast Food, Rolls, Momos",250,Delivery,Brigade Road
BOX8- Desi Meals,Yes,No,4.3/5,290,022 33552698,Residency Road,"Takeaway, Delivery","Dal Makhani, Chicken Curry, Sandwiches, Paratha, Butter Chicken","North Indian, Mughlai, Fast Food",500,Delivery,Brigade Road
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.2/5,382,080 49653126,Ulsoor,Cafe,"Wedges, Maggi, Burgers, Waffles, Margherita Pizza, Aam Panna, Tea","Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",500,Delivery,Brigade Road
Punjabi Dhaba,Yes,No,3.5/5,350,+91 9900296710,Ejipura,Quick Bites,"Butter Chicken, Paratha","North Indian, Chinese",350,Delivery,Brigade Road
Warm Oven,Yes,No,4.3/5,889,"+91 8880233233
+91 8197170008",Domlur,Delivery,"Chocolate Truffle Cake, Eggless Cake, Cup Cake, Chocolate Dreamcake, Photo Cake, Fruit Cake, Litchi Cake","Bakery, Desserts",500,Delivery,Brigade Road
Smally's Resto Cafe,Yes,No,4.3/5,3547,"+91 9986658881
+91 9986658882",Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650,Delivery,Brigade Road
Wazir's,Yes,No,3.3/5,261,"080 22292668
080 41145555",Shanti Nagar,Casual Dining,"Biryani, Butter Chicken, Butter Naan, Kalmi Kebab, Roti, Rolls, Fried Rice","North Indian, Chinese",500,Delivery,Brigade Road
Firangi Bake,Yes,No,3.9/5,59,+91 7710090007,Indiranagar,Delivery,Lasagne,"Mexican, Italian",600,Delivery,Brigade Road
Behrouz Biryani,Yes,No,4.2/5,128,091 7700050050,Vasanth Nagar,Delivery,"Raita, Gosht Dum Biryani, Dum Ghost Biryani, Paneer Biryani",Biryani,650,Delivery,Brigade Road
Corner House Ice Cream,Yes,No,4.4/5,633,"080 25583262
+91 9900545172",Residency Road,Dessert Parlor,"Hot Chocolate Fudge, Chocolate Mousse, Ice Cream Strawberry, Vanilla Ice Cream, Thick Shakes, Fruit Salad, Fudge Cake","Ice Cream, Desserts",400,Delivery,Brigade Road
Chai Point,Yes,No,4.2/5,176,"+91 8880141000
+91 9945166112",Indiranagar,"Beverage Shop, Quick Bites","Ginger Tea, Maggi, Ice Tea, Ginger Chai, Samosa, Lemon Tea, Vada Pav","Tea, Beverages, Fast Food",250,Delivery,Brigade Road
Empire Restaurant,Yes,No,4.0/5,1864,080 49653301,Frazer Town,Casual Dining,"Faluda, Ghee Rice, Biryani, Barbeque Chicken, Pulpy Grape Juice, Chicken Kebab, Shawarma","North Indian, Mughlai, South Indian, Chinese",750,Delivery,Brigade Road
Tadkawala,Yes,No,3.5/5,68,080 49653213,Vasanth Nagar,"Takeaway, Delivery",Veg Thali,North Indian,200,Delivery,Brigade Road
Pizza Hut,Yes,No,3.8/5,236,"080 39883988
080 60009000",Shanti Nagar,Casual Dining,"Garlic Bread, Paneer Pizza, Supreme Pizza, Tandoori Paneer","Pizza, Fast Food",750,Delivery,Brigade Road
Roti Shotti,Yes,No,3.8/5,61,080 49653273,Jeevan Bhima Nagar,Quick Bites,Dal Fry,North Indian,400,Delivery,Brigade Road
Nando's,Yes,No,4.3/5,1217,080 48538989,Indiranagar,Casual Dining,"Peri Peri Chicken, Peri Peri Fries, Peri Peri Drizzle, Burgers, Chicken Breast Burger, Potato Wedges, Murgh Platter","Portuguese, African","1,200",Delivery,Brigade Road
KFC,Yes,No,3.6/5,206,080 33994444,Cunningham Road,Quick Bites,"Burgers, Crispy Chicken, Chicken Zinger Burger, French Fries, Chicken Fries, Hot Wings","Burger, Fast Food",400,Delivery,Brigade Road
KC Das,Yes,No,3.9/5,370,"080 25587003
+91 9343767470",MG Road,"Sweet Shop, Quick Bites","Rasgulla, Luchi, Samosa, Radhaballavi, Rasmalai, Kheer Kadam, Chamcham","Mithai, Street Food",200,Delivery,Brigade Road
Ovenstory Pizza,Yes,No,3.8/5,97,+91 7738383000,Vasanth Nagar,Delivery,Pizza,Pizza,750,Delivery,Brigade Road
M.M.A Kababs Rolls & Biryani Center,Yes,No,2.7/5,67,+91 9901251691,Old Madras Road,Quick Bites,"Rolls, Chicken Grill","Arabian, Mughlai, Chinese, Kebab, Fast Food",400,Delivery,Brigade Road
Richie Rich,Yes,No,4.0/5,624,"080 22269655
080 30589655",Race Course Road,"Dessert Parlor, Quick Bites","Tawa Pulav, Faluda, Pav Bhaji, Ice Cream Sundae, Brownie, Hot Chocolate Fudge, Fruit Salad","Desserts, Beverages, Fast Food, Ice Cream",450,Delivery,Brigade Road
Belgian Waffle Factory,Yes,No,4.9/5,1746,+91 9481511911,Brigade Road,Dessert Parlor,"Coffee, Berryblast, Nachos, Chocolate Waffles, Nutella Waffle, Chocolate Overload, Sandwiches",Desserts,400,Delivery,Brigade Road
No 10 Fort Cochin,Yes,Yes,3.8/5,194,"+91 7777876000
080 22112889",St. Marks Road,Casual Dining,"Fish, Thali, Egg Roast, Buttermilk, Kerala Parotta, Paratha, Kadala Curry","Biryani, Kerala, Seafood, South Indian",800,Delivery,Brigade Road
Shanthi Sagar,Yes,No,4.1/5,204,080 41135196,Ulsoor,Quick Bites,"Coffee, Roti, Vada Pav","South Indian, North Indian, Chinese, Juices",250,Delivery,Brigade Road
Savoury Restaurant,Yes,No,4.1/5,1443,"080 49336333
080 41487066",Frazer Town,Casual Dining,"Biryani, Haleem, Jumbo Shawarma, Kerala Parotta, Barbeque Chicken, Mutton Raan Biriyani, Dum Aloo","Arabian, North Indian, Chinese, Beverages",800,Delivery,Brigade Road
Faasos,Yes,No,3.8/5,101,+91 7700020020,Vasanth Nagar,Delivery,"Rolls, Veggie Wrap, Biryani, Paratha, Cheesy Chicken Wrap","North Indian, Biryani, Fast Food",500,Delivery,Brigade Road
Karama Restaurant,Yes,Yes,4.4/5,2860,"080 40414141
080 40947898",Frazer Town,Casual Dining,"Salads, Veg Pulao, Sea Food, Popcorn Chicken, Karachi Naan, Rabri, Butter Chicken","Arabian, North Indian, Beverages",750,Delivery,Brigade Road
The Mughal's,Yes,No,3.7/5,89,+91 8884497867,Frazer Town,Quick Bites,"Chicken Biryani, Lemon Chicken Roll","Mughlai, North Indian, Chinese",400,Delivery,Brigade Road
Potful,Yes,No,4.1/5,1125,080 49653469,Domlur,Delivery,"Phirni, Chicken Roll, Hyderabadi Biryani, Mutton Biryani, Lucknowi Biryani, Galauti Kebab, Gulab Jamun","Biryani, Kebab, Rolls, Mughlai",650,Delivery,Brigade Road
KKR FOODIES,Yes,Yes,3.1/5,58,+91 9620388962,St. Marks Road,Quick Bites,Biryani,"Biryani, Chinese, Fast Food, North Indian",400,Delivery,Brigade Road
Meghana Foods,Yes,Yes,4.2/5,1746,080 49652122,Indiranagar,Casual Dining,"Chicken Boneless Biryani, Paneer Biryani, Andhra Style Biryani, Tandoori Chicken, Prawn Biryani, Raita, Hyderabadi Biryani","Biryani, Chinese, North Indian, Seafood",750,Delivery,Brigade Road
Xpress Biryani,Yes,No,4.3/5,146,+91 8043757153,Ulsoor,Casual Dining,"Butter Chicken Biryani, Gulab Jamun, Chicken Tikka Biryani, Dal Bukhara, Hara Bhara Kebab, Mutton Keema, Masala Biryani","Biryani, North Indian, Kebab",650,Delivery,Brigade Road
Soda Bottle Opener Wala,Yes,Yes,4.4/5,3651,+91 9892841456,Lavelle Road,"Casual Dining, Irani Cafee","Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Crispy Okra, Kulfi","Parsi, North Indian","1,300",Delivery,Brigade Road
Smoke House Deli,Yes,No,4.6/5,2490,"+91 8041277989
+91 8041276272",Lavelle Road,Casual Dining,"Burgers, Cocktails, Salads, Veg Burger, Peri Chicken, Pasta Alfredo, Hazelnut Mousse Flan","European, Italian, Desserts, Salad, Juices, Steak","1,600",Delivery,Brigade Road
Thai Chy,Yes,Yes,4.3/5,375,080 45128670,Indiranagar,Casual Dining,"Noodles, Watermelon Mint Mojito, Rendang Curry, Chicken Dim Sum, Laksa, Dimsum Platter, Spinach Corn Cheese","Thai, Asian, Indonesian","1,200",Delivery,Brigade Road
Cafe Azzure,Yes,Yes,4.3/5,2664,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger","1,200",Delivery,Brigade Road
Tata Cha,Yes,No,3.9/5,67,18001208242,Church Street,"Beverage Shop, Cafe","Chai, Ginger Tea, Poha, Coffee, Bun Maskas","Cafe, Tea, North Indian",500,Delivery,Brigade Road
Krispy Kreme,Yes,No,4.0/5,47,080 41254402,Richmond Road,Dessert Parlor,"Donut, Coffee","Desserts, Beverages",300,Delivery,Brigade Road
Healthie,Yes,No,3.9/5,189,"080 49595676
+91 9986507832",Indiranagar,Delivery,"Chicken Salad, Chicken Grill, Salads, Palak Chicken, Chicken Sandwich","Healthy Food, Beverages",600,Delivery,Brigade Road
XO Belgian Waffle,Yes,No,4.4/5,215,+91 6362619816,Brigade Road,Food Court,"Belgian Waffles, Hot Chocolate, Salted Caramel, Nutella Waffle","Desserts, Beverages",450,Delivery,Brigade Road
Mani's Dum Biryani,Yes,No,4.0/5,175,+91 9606441697,Ulsoor,Casual Dining,"Chicken Biryani, Vegetable Biryani, Raita","Biryani, Kebab",750,Delivery,Brigade Road
Biryani Trip,Yes,No,NEW,0,"+91 9945586781
+91 7406768528",Indiranagar,Delivery,"Raita, Chicken Biryani",Biryani,400,Delivery,Brigade Road
Hammered,Yes,Yes,4.7/5,4657,"+91 8041217527
+91 7618729481",Cunningham Road,"Pub, Cafe","Crispy Corn, Sangria, Chicken Satay, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails","North Indian, Thai, Japanese, Continental, Cafe","1,300",Delivery,Brigade Road
Subway,Yes,No,3.9/5,107,+91 8022112525,Lavelle Road,Quick Bites,"Salad, Salads, Sandwiches","Salad, Fast Food",600,Delivery,Brigade Road
Kaati Zone,Yes,No,3.1/5,163,"+91 9148398566
080 65660000",Church Street,Quick Bites,"Rolls, Chicken Tikka Roll, Cheese Roll","Fast Food, Biryani, Rolls",350,Delivery,Brigade Road
Glen's Bakehouse,Yes,No,4.4/5,1087,"080 41124894
080 41126825",Lavelle Road,"Bakery, Cafe","Pizza, Coffee, Pasta, Tiramisu, Cheesecake, Hot Chocolate, Pie","Bakery, Cafe, Italian, Desserts",600,Delivery,Brigade Road
Peace Restaurant,Yes,No,2.8/5,109,"080 40919546
+91 9591984303",Shanti Nagar,Casual Dining,"Thukpa, Hakka Noodles","Chinese, Tibetan",500,Delivery,Brigade Road
Swathi Deluxe Restaurant,Yes,No,3.0/5,74,"+91 9880218888
080 22210083",Shanti Nagar,Casual Dining,"Biryani, Chicken Kebab, Andhra Meal, Lime Soda",North Indian,500,Delivery,Brigade Road
Suryawanshi,Yes,No,4.2/5,444,+91 9036528709,Indiranagar,Casual Dining,"Thali, Misal Pav, Pandhra Rassa, Roti, Chicken Kolhapuri, Tamda Rassa, Kadhi","Seafood, Maharashtrian",700,Delivery,Brigade Road
Portland Steakhouse & Cafe,Yes,Yes,4.3/5,2040,"080 25593405
080 41127142",MG Road,Casual Dining,"Spaghetti, Beef Steak, Bbq Chicken Pizza, Burgers, Apple Pie, Ice Tea, Salads","Steak, Italian, Continental, American, Burger, BBQ, Salad","1,500",Delivery,Brigade Road
WOW! Momo,Yes,No,3.7/5,123,"080 40988938
+91 9611304277",Brigade Road,"Food Court, Quick Bites","Burgers, Chocolate Momos, Noodles, Cheese Momos","Chinese, Momos",400,Delivery,Brigade Road
Keventers,Yes,No,4.0/5,568,080 49653343,Indiranagar,"Beverage Shop, Dessert Parlor","Thick Shakes, Choco Chip Shake, Choco Hazelnut, Chocolate Hazelnut Shake, Oreo Shake, Kit Kat Shake, Butterscotch Shake","Desserts, Beverages, Ice Cream",400,Delivery,Brigade Road
Utse Kitchen,Yes,No,4.2/5,172,"080 25566688
080 48906688",Commercial Street,Casual Dining,"Momos, Thukpa, Noodles, Nepali Thali, Chicken Momo, Chilli Momo","Nepalese, Tibetan, Momos",800,Delivery,Brigade Road
Alampur Bar And Restaurant,Yes,No,3.7/5,42,080 22256578,Race Course Road,Casual Dining,"Thali, Chicken Biryani","Chinese, South Indian, North Indian",900,Delivery,Brigade Road
SGS Non Veg - Gundu Pulav,Yes,No,3.9/5,55,+91 9742166077,St. Marks Road,Quick Bites,Chilli Chicken,"Biryani, Fast Food",400,Delivery,Brigade Road
Hotel Fanoos,Yes,No,4.0/5,787,"+91 8892322814
+91 9113292702",Richmond Road,Quick Bites,"Rolls, Shawarma, Beef Roll, Chicken Shawarama, Beef Shwarma, Haleem, Chicken Roll","Arabian, Biryani, Rolls, Kebab",400,Delivery,Brigade Road
Laughing Llama Gastropub,Yes,Yes,4.3/5,393,+91 9535029732,Brigade Road,"Bar, Casual Dining","Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails","Finger Food, Continental, Pizza","1,600",Delivery,Brigade Road
Imperial Restaurant,Yes,No,3.9/5,238,"080 69994888
080 25254888",Indiranagar,Casual Dining,"Ghee Rice, Chicken Grill, Butter Chicken, Chicken Tikka Masala, Chicken Curry, Roti, Chicken Kebab","North Indian, Chinese, Biryani, Kebab, Juices",800,Delivery,Brigade Road
Oregano Pizzeria,Yes,No,3.5/5,60,+91 8747000082,Frazer Town,Quick Bites,"Pizza, Pasta, Burgers, Lasagne, Masala Garlic Bread","Italian, Pizza",300,Delivery,Brigade Road
The Good Grain,Yes,No,4.1/5,54,"080 43751583
080 43751584",Residency Road,Casual Dining,"Curd Rice, Biryani","Healthy Food, North Indian, South Indian",400,Delivery,Brigade Road
Pasta Street,Yes,Yes,4.5/5,1621,"080 40976578
080 40976910",Cunningham Road,Casual Dining,"Pasta, Pizza, Garlic Bread, Wine, Salad, Salads, Ravioli","Italian, Pizza, Salad","1,300",Delivery,Brigade Road
Cita Pani,Yes,Yes,3.9/5,54,080 49653502,Indiranagar,Quick Bites,"Peri Peri Chicken, Shawarma, Biryani, Rolls","Biryani, North Indian, Arabian",350,Delivery,Brigade Road
The Waffle Press,Yes,No,4.3/5,116,+91 9945403528,St. Marks Road,Dessert Parlor,"Waffles, Liege Waffle, Ice Cream Sandwiches, Salted Caramel Ice Cream, Ice Cream Sandwich","Desserts, Ice Cream",400,Delivery,Brigade Road
Delicacy,Yes,No,3.9/5,306,"+91 7411585385
080 68888774",Frazer Town,Casual Dining,"Momos, Noodles, Chilli Chicken, Spring Roll, Clear Chicken Soup, Crispy Noodle, Mixed Fried Rice","Chinese, Thai, Momos",500,Delivery,Brigade Road
Berrylicious Cafe,Yes,No,4.1/5,125,080 49652468,MG Road,"Casual Dining, Cafe","Waffles, Sandwiches, Nachos, Burgers, Chicken Keema Pizza, Penne Pasta, Smoothie Bowl","Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",900,Delivery,Brigade Road
Mamagoto,Yes,Yes,4.4/5,2560,"080 40937237
+91 8884498760",Indiranagar,Casual Dining,"Noodles, Cocktails, Spicy Chicken Bangkok Bowl, Tempura Prawns, Pad Thai, Dumplings, Khao Suey","Asian, Thai, Chinese, BBQ, Momos","1,600",Delivery,Brigade Road
Atty's Bakery,Yes,No,4.0/5,73,080 41690101,Frazer Town,Bakery,"Gooey Brownie, Brownie Chocolate, Chocolate Ganache, Garlic Bread, Salted Caramel Brownie, Plum Cake, Chocolate Cake",Bakery,250,Delivery,Brigade Road
